Player,Runs_bat,SR_bat,Fours,Sixes,Wkts,Eco,Bowl AVG,SR_bowl
Ahmed Shehzad,1326,115.8,136,31,12,5.0,33.0,42.0
Asif Ali,577,133.87,27,37,12,5.0,33.0,42.0
Azam Khan,88,133.33,6,7,12,5.0,33.0,42.0
Babar Azam,5729,88.75,520,60,12,5.0,33.0,42.0
Fakhar Zaman,139,81.0,14,3,1,4.93,111.0,135.0
Haider Ali,505,124.69,43,22,12,5.0,33.0,42.0
Iftikhar Ahmed,139,81.0,14,3,12,5.0,33.0,42.0
Junaid Khan,139,81.0,14,3,44,2.95,34.81,70.6
Khushdil Shah,344,109.2,48,30,6,4.87,13.0,16.0
Mohammad Hafeez,1979,82.63,370,87,79,5.4350000000000005,36.144999999999996,44.4
Mohammad Nawaz (3),441,111.5,65,35,62,6.205,30.11,32.0
Mohammad Wasim (1),80,97.56,5,5,34,5.33,25.17,28.2
Shadab Khan,409,110.355,58,37,119,6.12,28.285,30.75
Shaheen Shah Afridi,171,104.475,24,18,24,5.0,33.0,42.0
Shan Masood,267,101.455,44,10,14,4.415,39.5,57.0
Shoaib Malik,2281,91.34,167,54,12,5.0,33.0,42.0
Sohail Khan,190,80.935,48,10,29,6.275,28.92,36.55
Zaman Khan,139,81.0,14,3,7,7.49,33.71,27.0
Zulfiqar Babar,139,81.0,14,3,12,7.11,15.41,13.0
