Runs_bat,SR_bat,Fours,Sixes,Wkts,Eco,Bowl AVG,SR_bowl,Predicted_Label,Player
146.0,126.95,7.0,11.0,12.0,5.0,33.0,42.0,1,Shaheen Shah Afridi
139.0,81.0,14.0,3.0,7.0,7.49,33.71,27.0,1,Zaman Khan
577.0,133.87,27.0,37.0,12.0,5.0,33.0,42.0,1,Asif Ali
139.0,81.0,14.0,3.0,107.0,7.24,23.57,19.5,1,Shadab Khan
406.0,88.64,27.0,11.0,12.0,5.0,33.0,42.0,1,Mohammad Nawaz (3)
139.0,81.0,14.0,3.0,12.0,7.11,15.41,13.0,1,Zulfiqar Babar
505.0,124.69,43.0,22.0,12.0,5.0,33.0,42.0,1,Haider Ali
1326.0,115.8,136.0,31.0,12.0,5.0,33.0,42.0,1,Ahmed Shehzad
139.0,81.0,14.0,3.0,29.0,6.49,22.79,21.0,1,Mohammad Hafeez
5729.0,88.75,520.0,60.0,12.0,5.0,33.0,42.0,1,Babar Azam
196.0,82.0,17.0,7.0,12.0,5.0,33.0,42.0,1,Shaheen Shah Afridi
3819.0,84.26,356.0,84.0,50.0,4.38,49.5,67.8,1,Mohammad Hafeez
344.0,109.2,24.0,15.0,3.0,4.87,13.0,16.0,1,Khushdil Shah
80.0,97.56,5.0,5.0,34.0,5.33,25.17,28.2,1,Mohammad Wasim (1)
139.0,81.0,14.0,3.0,1.0,4.93,111.0,135.0,1,Fakhar Zaman
2281.0,91.34,167.0,54.0,12.0,5.0,33.0,42.0,1,Shoaib Malik
88.0,133.33,6.0,7.0,12.0,5.0,33.0,42.0,1,Azam Khan
139.0,81.0,14.0,3.0,12.0,5.0,33.0,42.0,1,Iftikhar Ahmed
344.0,109.2,24.0,15.0,3.0,4.87,13.0,16.0,1,Khushdil Shah
395.0,121.91,30.0,7.0,12.0,5.0,33.0,42.0,1,Shan Masood
139.0,81.0,14.0,3.0,44.0,2.95,34.81,70.6,1,Junaid Khan
139.0,81.0,14.0,3.0,2.0,3.83,46.0,72.0,1,Shan Masood
477.0,134.36,38.0,24.0,50.0,7.41,27.22,22.0,1,Mohammad Nawaz (3)
139.0,81.0,14.0,3.0,3.0,9.0,24.0,16.0,1,Sohail Khan
679.0,139.71,44.0,34.0,12.0,5.0,33.0,42.0,1,Shadab Khan
241.0,80.87,34.0,7.0,26.0,3.55,33.84,57.1,1,Sohail Khan
